date,open,high,low,close,volume,symbol,ma5,ma20,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
2019-10-14,0.7436893203883497,0.7099136803557415,0.7428146679881071,0.7372190664361571,-1.0425267076352676,VNM,77.408,76.8755,71.55142375900128,0.7542660126055978,0.8265512604062941,-0.07228524780069634,76.8755,79.82421819609809,73.92678180390192
2019-10-15,0.7364077669902913,0.7177609207428717,0.7395936570862238,0.7327735243269944,-0.7987072468609768,VNM,77.324,77.051,70.03887757966245,0.724074589531611,0.8060559262313575,-0.0819813366997465,77.051,79.7307529736899,74.3712470263101
2019-10-16,0.7334951456310681,0.7399947685064083,0.7487611496531219,0.7641392936527538,-0.7328356990218883,VNM,77.73599999999999,77.25399999999999,74.18529835810459,0.7934793197211292,0.8035406049293119,-0.010061285208182724,77.25399999999999,79.8498690259718,74.65813097402818
2019-10-17,0.7643203883495144,0.7637980643473712,0.7772547076313181,0.7730303778710792,-0.6957842691092019,VNM,78.22,77.478,75.23169200855453,0.867531694431193,0.8163388228296882,0.051192871601504875,77.478,79.9551806555033,75.00081934449669
2019-10-18,0.7803398058252426,0.7732147528119275,0.7965807730426162,0.7955050629785134,-0.8190055359074612,VNM,78.764,77.79249999999999,77.69313662264909,0.9882561282418578,0.8507222839121221,0.1375338443297357,77.79249999999999,79.94335913067307,75.6416408693269
2019-10-21,0.7951456310679614,0.8127125294271511,0.8027750247770067,0.8118053840454436,-0.4444029483209128,VNM,79.368,78.0675,79.29990506143412,1.1242281931563127,0.9054234657609603,0.2188047273953524,78.0675,80.2986869038697,75.8363130961303
2019-10-22,0.8172330097087379,0.7954486005754642,0.8087215064420217,0.7955050629785134,-0.7002725445963524,VNM,79.876,78.237,73.5913494630806,1.1652977232954669,0.9573983172678617,0.20789940602760515,78.237,80.5671081519963,75.9068918480037
2019-10-23,0.7951456310679614,0.7685064085796494,0.7921209117938552,0.7925413682390716,-0.9323071244245511,VNM,80.10600000000001,78.4155,72.56847216156865,1.1746223098911486,1.0008431157925193,0.1737791940986293,78.4155,80.72985066487331,76.10114933512668
2019-10-24,0.7907766990291263,0.7794925451216319,0.8072348860257679,0.7969869103482341,-1.069957396939944,VNM,80.3,78.494,73.17086444068184,1.182900862809234,1.0372546651958623,0.1456461976133716,78.494,80.94029842823797,76.04770157176203
2019-10-25,0.7966019417475727,0.7970180486528904,0.8116947472745293,0.8253889849345519,-0.9454688028230804,VNM,80.542,78.627,76.69243449363955,1.2676444485677507,1.0833326218702402,0.18431182669751056,78.627,81.3801516485656,75.87384835143439
2019-10-28,0.824514563106796,0.8111430813497253,0.8280475718533202,0.8150160533465054,-1.0541810664987126,VNM,80.56800000000001,78.7515,72.92750257801762,1.286088631728191,1.1238838238418305,0.1622048078863605,78.7515,81.68602738954664,75.81697261045335
2019-10-29,0.8128640776699028,0.8032958409625943,0.8280475718533202,0.8194615954556683,-1.0702142307154752,VNM,80.762,78.936,73.52730829774023,1.3002418962359172,1.159155438320648,0.1410864579152693,78.936,81.98432019315548,75.88767980684453
2019-10-30,0.8230582524271843,0.8017263928851686,0.7891476709613476,0.7880958261299087,-0.741210164260108,VNM,80.726,79.0875,62.93291629192622,1.1952025234572403,1.1663648553479664,0.028837668109273906,79.0875,82.00441532273383,76.17058467726618
2019-10-31,0.7878640776699029,0.7575202720376664,0.7561942517343903,0.7582119041738702,-0.21542090107074785,VNM,80.412,79.11800000000001,54.82722647414601,1.002761960471588,1.1336442763726908,-0.13088231590110277,79.11800000000001,82.00389396894609,76.23210603105393
2019-11-01,0.7614077669902914,0.7732147528119275,0.7772547076313181,0.7940232156087925,-0.881129836857653,VNM,80.158,79.233,61.26560130491895,0.9562314685543782,1.0981617148090284,-0.14193024625465012,79.233,82.0859500521389,76.38004994786111
2019-11-04,0.8024271844660196,0.7732147528119275,0.7832011892963329,0.7774759199802421,-0.6964621418610135,VNM,79.854,79.2995,57.20818863029667,0.85543143678386,1.0496156592039947,-0.19418422242013467,79.2995,82.10722131807971,76.49177868192028
2019-11-05,0.7774271844660194,0.7462725608161127,0.7621407333994055,0.7461101506544829,-0.49907064900117654,VNM,79.26,79.30550000000001,50.39523328049197,0.6653980052054322,0.9727721284042823,-0.30737412319885005,79.30550000000001,82.10309521732493,76.50790478267508
2019-11-06,0.7436893203883497,0.733716976196704,0.7517343904856293,0.7596937515435913,-0.7907201374809353,VNM,79.03,79.39950000000002,53.005404025759454,0.5528031741373809,0.888778337550902,-0.33597516341352107,79.39950000000002,81.9785577736839,76.82044222631613
2019-11-07,0.7509708737864078,0.722730839654721,0.7547076313181365,0.7446283032847618,-0.9245810592098034,VNM,78.92,79.463,49.871064947861626,0.40962713071782275,0.7929480961842862,-0.38332096546646344,79.463,81.84267308679138,77.08332691320861
2019-11-08,0.7451456310679614,0.7305780800418515,0.7576808721506441,0.7461101506544829,-0.7869181555251221,VNM,78.53200000000001,79.499,50.18310374355284,0.2975703772612661,0.6938725523996822,-0.39630217513841604,79.499,81.77594444376652,77.22205555623347
2019-11-11,0.7466019417475731,0.7290086319644258,0.7591674925668979,0.7475919980242034,-1.0174917301056274,VNM,78.29,79.52000000000001,50.514830012774034,0.211171833929086,0.5973324087055629,-0.3861605747764769,79.52000000000001,81.74169304810528,77.29830695189474
2019-11-12,0.7480582524271844,0.7146220245880197,0.733647175421209,0.7206717708076071,-0.4747809104595529,VNM,78.084,79.4955,44.6924886115538,0.05412258392318847,0.48869044374908804,-0.43456785982589957,79.4955,81.80851080844843,77.18248919155158
2019-11-13,0.721601941747573,0.6861103845147791,0.7051536174430126,0.6907878488515684,-0.46532437505229224,VNM,77.526,79.34700000000001,39.28003493323928,-0.16606269837684806,0.3577398153239008,-0.5238025137007489,79.34700000000001,82.12577023159514,76.56822976840488
2019-11-14,0.6997572815533981,0.6688464556630913,0.7081268582755202,0.696962212892072,-0.9964524124608896,VNM,77.14,79.19300000000001,40.87328064753477,-0.31673706259053347,0.22284443974101392,-0.5395815023315473,79.19300000000001,82.29442612357596,76.09157387642406
2019-11-15,0.6997572815533981,0.6625686633533872,0.624380574826561,0.6534946900469254,-0.2853638958104691,VNM,76.39,78.9055,34.091357248521305,-0.5715760993665953,0.0639603319194921,-0.6355364312860874,78.9055,82.5974668200025,75.21353317999751
2019-11-18,0.6555825242718449,0.6212398639811665,0.6303270564915757,0.6206470733514446,-0.5855183716110944,VNM,75.362,78.5185,30.03558849470224,-0.8708194917197432,-0.12299563280835495,-0.7478238589113883,78.5185,82.88013398280958,74.15686601719042
2019-11-19,0.6174757281553398,0.6371959194349985,0.6303270564915757,0.6744875277846383,-0.8351355390887681,VNM,74.988,78.2735,42.17815231204094,-0.9214424402389341,-0.2826849942944708,-0.6387574459444633,78.2735,82.78229263217986,73.76470736782014
2019-11-20,0.6776699029126214,0.6434737117447029,0.6736868186323091,0.6685601383057547,-0.8047828392887049,VNM,74.808,78.02250000000001,41.327769243597636,-0.9697488250874358,-0.4200977604530638,-0.549651064634372,78.02250000000001,82.66254256445988,73.38245743554013
2019-11-21,0.6628640776699031,0.6275176562908709,0.649653121902874,0.6386762163497159,-0.7019230173833719,VNM,74.336,77.70200000000001,37.2500888860818,-1.093068655665732,-0.5546919394955975,-0.5383767161701346,77.70200000000001,82.56523595972882,72.8387640402712
2019-11-22,0.6468446601941746,0.6181009678263141,0.6437066402378593,0.6310200049394912,-0.986259058845138,VNM,74.154,77.30850000000001,36.262912176968726,-1.201959478418928,-0.6841454472802636,-0.5178140311386644,77.30850000000001,82.18797241000496,72.42902758999506
2019-11-25,0.6439320388349516,0.6196704159037403,0.6333002973240833,0.6520128426772045,-1.0026543165815016,VNM,74.40799999999999,76.9785,40.888643736368785,-1.2057689893689343,-0.7884701556979978,-0.41729883367093645,76.9785,81.71340137172882,72.24359862827117
