time,open,high,low,close,volume
2022-11-28,67.58,68.73,67.33,67.33,2300555
2022-11-29,67.0,68.65,66.34,68.4,2405600
2022-11-30,68.4,68.4,67.17,68.24,1996463
2022-12-01,67.25,68.32,67.25,67.91,2218159
2022-12-02,67.83,69.23,67.58,69.23,2523394
2022-12-05,69.31,70.54,69.31,70.05,2067794
2022-12-06,70.05,70.13,67.99,67.99,1396651
2022-12-07,68.4,69.47,67.41,67.99,1840655
2022-12-08,68.4,69.23,66.75,66.75,1597948
2022-12-09,66.75,67.41,65.93,65.93,2409728
2022-12-12,66.18,67.5,64.61,64.69,3144784
2022-12-13,64.78,65.44,63.62,64.28,3611310
2022-12-14,65.44,65.44,63.87,63.87,3523110
2022-12-15,63.87,65.27,63.7,63.95,2596282
2022-12-16,64.03,64.94,63.95,64.28,3003287
2022-12-19,64.69,64.69,63.46,63.46,2425078
2022-12-20,63.7,65.68,63.37,64.86,3031345
2022-12-21,65.68,66.42,65.52,65.68,2306984
2022-12-22,66.52,66.69,64.59,64.59,1588107
2022-12-23,64.68,65.6,63.92,63.92,1562595
2022-12-26,64.09,65.1,63.67,63.76,1658620
2022-12-27,64.43,65.43,63.76,64.26,1587728
2022-12-28,64.34,65.43,64.26,64.59,1189135
2022-12-29,64.93,65.6,64.59,64.59,1330412
2022-12-30,65.43,65.43,63.84,63.84,1199657
2023-01-03,64.17,65.85,63.92,65.85,1496887
2023-01-04,66.02,66.52,65.94,66.52,1090697
2023-01-05,66.52,68.29,66.27,68.12,2471156
2023-01-06,67.95,68.12,66.78,66.94,1270661
2023-01-09,67.03,67.7,66.78,67.7,949900
2023-01-10,67.87,68.37,67.61,67.95,1196828
2023-01-11,67.95,68.45,66.61,66.61,1535421
2023-01-12,67.03,67.28,66.52,67.11,685545
2023-01-13,67.28,68.03,67.19,67.61,1449667
2023-01-16,67.61,67.78,66.61,66.61,655271
2023-01-17,67.28,67.95,66.61,67.87,1672065
2023-01-18,67.87,68.37,67.7,68.2,1299292
2023-01-19,67.78,68.37,67.11,68.2,2628489
2023-01-27,68.29,68.7,66.78,67.11,2333482
2023-01-30,67.11,67.11,66.61,66.61,1614712
2023-01-31,66.44,66.69,64.51,64.68,4819134
2023-02-01,65.18,65.27,64.51,64.76,1811677
2023-02-02,64.93,65.01,64.34,64.34,1494960
2023-02-03,64.59,64.68,63.67,63.76,1857505
2023-02-06,63.67,65.01,63.67,64.93,1911471
2023-02-07,65.1,65.1,63.84,63.84,1275373
2023-02-08,63.92,64.26,63.5,63.59,1551091
2023-02-09,63.59,63.76,62.92,62.92,1594747
2023-02-10,62.92,63.67,62.92,63.67,1236884
2023-02-13,63.67,63.67,62.16,63.17,1570936
2023-02-14,63.17,63.5,62.41,62.66,1074782
2023-02-15,62.66,63.76,62.41,63.76,1444301
2023-02-16,63.76,64.17,63.42,64.17,692037
2023-02-17,63.84,64.09,63.17,63.76,777880
2023-02-20,63.76,65.01,63.34,65.01,1386188
2023-02-21,65.01,65.1,64.34,64.76,889193
2023-02-22,64.01,64.34,63.34,63.34,1296443
2023-02-23,63.34,64.51,62.41,63.5,2328809
2023-02-24,63.5,63.76,62.5,62.66,1681692
2023-02-27,62.66,63.67,62.08,63.08,1113616
2023-02-28,63.34,63.67,63.0,63.34,1035315
2023-03-01,63.0,64.59,62.92,64.51,1636044
2023-03-02,64.51,64.51,63.84,64.17,1089291
2023-03-03,62.92,64.43,62.92,63.76,704604
2023-03-06,63.76,64.26,62.92,62.92,892543
2023-03-07,63.67,63.92,63.34,63.59,1171596
2023-03-08,63.08,64.17,62.92,64.17,1245092
2023-03-09,63.92,64.68,63.92,64.17,1390428
2023-03-10,64.17,64.76,63.84,64.51,1428506
2023-03-13,64.43,64.68,64.26,64.51,1825388
2023-03-14,64.01,64.51,63.42,64.26,1735682
2023-03-15,64.26,64.85,64.17,64.68,1960620
2023-03-16,64.59,64.68,63.67,64.09,1530353
2023-03-17,64.09,64.09,62.5,62.5,2433870
2023-03-20,62.92,62.92,62.16,62.33,1610450
2023-03-21,62.41,63.0,62.25,62.41,1351452
2023-03-22,62.58,62.66,62.41,62.41,901008
2023-03-23,62.33,63.17,62.08,63.17,1285502
2023-03-24,62.92,63.34,62.75,62.92,932820
2023-03-27,62.92,62.92,62.33,62.58,1371841
2023-03-28,62.5,63.17,62.41,62.41,1650696
2023-03-29,62.66,62.83,62.41,62.83,907785
2023-03-30,62.66,63.25,62.58,62.92,839461
2023-03-31,62.92,63.25,62.41,62.41,1076689
2023-04-03,62.58,62.83,62.25,62.41,851274
2023-04-04,62.41,62.5,62.25,62.25,1819637
2023-04-05,62.25,62.75,62.16,62.5,964016
2023-04-06,62.41,62.58,62.33,62.33,906247
2023-04-07,62.41,62.66,62.33,62.66,795228
2023-04-10,62.66,62.66,62.41,62.41,833066
2023-04-11,62.33,62.5,62.16,62.41,783565
2023-04-12,62.41,62.41,62.08,62.33,979996
2023-04-13,62.33,62.41,61.66,61.66,891570
2023-04-14,61.74,61.83,61.07,61.07,1294816
2023-04-17,61.07,61.15,60.15,60.15,1366872
2023-04-18,60.23,61.24,60.23,61.24,932467
2023-04-19,61.32,61.32,60.4,60.4,817480
2023-04-20,60.48,60.9,60.23,60.32,822994
2023-04-21,60.4,60.4,59.39,59.48,1109508
2023-04-24,59.56,59.64,58.89,59.14,1135168
2023-04-25,59.14,59.9,58.55,58.64,1371733
2023-04-26,58.72,59.56,58.72,59.56,942125
2023-04-27,59.56,59.56,58.3,58.3,1370570
2023-04-28,58.55,58.89,58.47,58.72,1117094
2023-05-04,58.72,58.72,57.38,57.55,2659616
2023-05-05,57.55,58.05,57.55,57.72,712871
2023-05-08,57.88,59.06,57.88,59.06,1228760
2023-05-09,59.39,59.56,59.14,59.31,872498
2023-05-10,59.39,59.64,59.14,59.14,952494
2023-05-11,59.14,59.48,58.72,58.72,447884
2023-05-12,59.06,59.06,58.3,58.39,1214899
2023-05-15,58.64,58.64,57.88,57.88,1539719
2023-05-16,57.88,58.47,57.88,58.47,1381060
2023-05-17,58.47,58.47,57.72,57.88,1869705
2023-05-18,57.88,58.72,57.46,58.05,2498777
2023-05-19,58.22,58.3,57.55,57.55,1204484
2023-05-22,57.63,57.88,57.21,57.21,1699621
2023-05-23,57.04,57.38,56.21,56.21,2940962
2023-05-24,56.29,56.54,55.45,55.62,2354186
2023-05-25,55.53,56.62,55.37,56.29,1306722
2023-05-26,56.54,57.04,56.29,56.29,906227
2023-05-29,56.46,56.79,56.29,56.29,1044750
2023-05-30,56.29,56.54,55.79,55.79,1772267
2023-05-31,56.04,56.04,55.45,55.45,1468744
2023-06-01,55.45,55.79,55.37,55.45,1217050
2023-06-02,55.53,55.62,54.95,55.28,2972493
2023-06-05,55.79,56.37,55.53,55.79,3326155
2023-06-06,56.12,56.12,55.37,55.7,3425841
2023-06-07,55.79,55.95,55.37,55.53,3720457
2023-06-08,55.79,55.79,54.95,54.95,5040797
2023-06-09,55.03,55.79,54.95,55.2,2081714
2023-06-12,55.37,57.04,55.37,56.96,5452337
2023-06-13,57.13,57.3,56.62,56.71,4946444
2023-06-14,56.79,57.21,56.29,56.29,4911944
2023-06-15,56.46,56.54,55.53,55.62,4689964
2023-06-16,55.79,55.87,55.37,55.45,5994312
2023-06-19,55.62,55.87,55.03,55.2,3284579
2023-06-20,55.28,55.28,54.95,54.95,2964627
2023-06-21,55.03,55.62,54.95,55.62,3492784
2023-06-22,55.79,56.46,55.62,56.12,5613113
2023-06-23,56.21,58.3,56.21,57.97,11963164
2023-06-26,58.13,59.31,57.3,59.23,10742723
2023-06-27,59.39,59.39,58.39,59.14,5982210
2023-06-28,59.14,59.48,58.47,59.23,6157222
2023-06-29,59.23,60.74,58.81,60.32,7702292
2023-06-30,60.32,60.4,59.39,59.56,3646759
2023-07-03,59.64,59.9,58.97,59.31,3187816
2023-07-04,59.14,59.73,58.81,59.23,4783357
2023-07-05,59.39,59.39,58.39,58.55,6661035
2023-07-06,58.64,59.31,58.55,59.14,7632376
2023-07-07,59.31,59.73,59.06,59.48,5782449
2023-07-10,59.9,60.99,59.73,60.48,6174583
2023-07-11,60.48,61.57,60.15,61.07,5705271
2023-07-12,61.15,61.66,60.9,61.66,4197529
2023-07-13,61.57,61.91,61.15,61.32,3785836
2023-07-14,61.41,61.57,60.48,61.49,5211888
2023-07-17,61.24,61.74,60.57,60.65,3924388
2023-07-18,60.82,60.9,60.57,60.74,2931448
2023-07-19,60.82,61.24,60.74,60.9,2946641
2023-07-20,60.9,61.07,60.65,60.9,2601742
2023-07-21,60.9,61.66,60.82,61.66,3343300
2023-07-24,61.66,62.08,61.49,61.74,2537340
2023-07-25,61.74,62.66,61.32,62.5,4249028
2023-07-26,62.41,63.08,62.33,62.92,3191917
2023-07-27,62.92,63.59,62.75,63.5,4180261
2023-07-28,63.59,65.18,63.42,64.93,5476424
2023-07-31,64.85,65.77,64.76,65.43,3366889
2023-08-01,65.43,65.43,63.76,63.76,5735402
2023-08-02,63.76,64.17,63.17,63.84,2680830
2023-08-03,64.23,64.23,62.93,62.93,2921459
2023-08-04,62.84,63.28,62.41,63.28,3167057
2023-08-07,63.19,64.92,62.67,64.92,4320043
2023-08-08,64.75,64.92,64.06,64.58,3433019
2023-08-09,64.58,64.58,63.1,63.36,3707004
2023-08-10,63.36,64.14,63.19,63.36,2734314
2023-08-11,63.36,63.71,62.76,63.71,2182946
2023-08-14,63.62,63.71,62.84,63.62,3068103
2023-08-15,63.19,63.62,63.02,63.1,2221214
2023-08-16,63.1,63.71,62.84,63.36,2085184
